Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros)
2018,2,Córdoba,683.794,608.719,50.183,2.711,22.181
2018,2,Corrientes,99.001,88.131,7.266,393,3.211
2018,2,Entre Ríos,213.670,190.211,15.681,847,6.931
2018,2,Formosa,39.741,35.377,2.917,158,1.289
2018,2,Jujuy,53.642,47.752,3.937,213,1.740
2018,2,La Pampa,75.704,67.392,5.556,300,2.456
2018,2,La Rioja,35.170,31.309,2.581,139,1.141
2018,2,Mendoza,360.453,320.879,26.453,1.429,11.692
2018,2,Misiones,108.094,96.226,7.933,429,3.506
2018,2,Neuquén,97.148,86.482,7.130,385,3.151
2018,2,Río Negro,139.757,124.413,10.257,554,4.533
2018,2,Salta,131.938,117.452,9.683,523,4.280
2018,2,San Juan,115.192,102.544,8.454,457,3.737
2018,2,San Luis,44.326,39.459,3.253,176,1.438
2018,2,Santa Cruz,44.258,39.399,3.248,175,1.436
2018,2,Santa Fe,685.345,610.100,50.297,2.717,22.231
2018,2,Santiago del Estero,55.208,49.146,4.052,219,1.791
2018,2,Tierra del Fuego,33.372,29.708,2.449,132,1.083
2018,2,Tucumán,214.298,190.770,15.727,850,6.951
