Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares
2019,3,Mendoza,1.144,4.098
2019,3,Misiones,767,2.816
2019,3,Neuquén,1.223,4.109
2019,3,Río Negro,1.274,4.141
2019,3,Salta,807,3.331
2019,3,San Juan,1.065,4.181
2019,3,San Luis,781,2.728
2019,3,Santa Cruz,894,3.005
2019,3,Santa Fe,1.844,5.865
2019,3,Santiago del Estero,715,2.882
2019,3,Tierra del Fuego,1.480,4.992
2019,3,Tucumán,1.146,4.626
2019,4,Buenos Aires,1.921,5.841
2019,4,Capital Federal,4.812,11.569
2019,4,Catamarca,753,2.959
2019,4,Chaco,726,2.716
2019,4,Chubut,1.334,4.353
2019,4,Córdoba,1.596,5.213
2019,4,Corrientes,807,3.064
2019,4,Entre Ríos,1.389,4.646
2019,4,Formosa,586,2.304
2019,4,Jujuy,646,2.525
2019,4,La Pampa,2.000,6.070
2019,4,La Rioja,726,2.727
2019,4,Mendoza,1.105,3.960
2019,4,Misiones,748,2.747
2019,4,Neuquén,1.198,4.025
2019,4,Río Negro,1.228,3.992
2019,4,Salta,784,3.238
2019,4,San Juan,1.037,4.072
2019,4,San Luis,749,2.617
2019,4,Santa Cruz,844,2.836
2019,4,Santa Fe,1.825,5.805
2019,4,Santiago del Estero,703,2.834
2019,4,Tierra del Fuego,1.420,4.791
2019,4,Tucumán,1.113,4.495
2020,1,Buenos Aires,1.865,5.657
2020,1,Capital Federal,4.736,11.402
2020,1,Catamarca,718,2.823
2020,1,Chaco,700,2.619
2020,1,Chubut,1.278,4.170
2020,1,Córdoba,1.532,5.003
2020,1,Corrientes,784,2.978
2020,1,Entre Ríos,1.352,4.522
2020,1,Formosa,573,2.250
2020,1,Jujuy,625,2.443
2020,1,La Pampa,1.979,6.006
2020,1,La Rioja,691,2.596
2020,1,Mendoza,1.062,3.807
2020,1,Misiones,723,2.654
2020,1,Neuquén,1.172,3.937
2020,1,Río Negro,1.186,3.855
2020,1,Salta,758,3.129
2020,1,San Juan,1.008,3.959
2020,1,San Luis,718,2.508
2020,1,Santa Cruz,810,2.721
2020,1,Santa Fe,1.771,5.631
2020,1,Santiago del Estero,690,2.779
2020,1,Tierra del Fuego,1.369,4.618
2020,1,Tucumán,1.081,4.363
2020,2,Buenos Aires,1.419,4.294
2020,2,Capital Federal,3.089,7.444
2020,2,Catamarca,820,3.225
2020,2,Chaco,696,2.603
2020,2,Chubut,1.241,4.050
2020,2,Córdoba,1.483,4.844
2020,2,Corrientes,779,2.957
2020,2,Entre Ríos,1.324,4.428
2020,2,Formosa,581,2.284
2020,2,Jujuy,722,2.824
2020,2,La Pampa,1.971,5.983
2020,2,La Rioja,751,2.820
2020,2,Mendoza,1.025,3.673
2020,2,Misiones,701,2.573
2020,2,Neuquén,1.147,3.852
2020,2,Río Negro,1.180,3.837
2020,2,Salta,738,3.049
2020,2,San Juan,989,3.882
2020,2,San Luis,696,2.434
2020,2,Santa Cruz,772,2.593
2020,2,Santa Fe,1.733,5.510
2020,2,Santiago del Estero,684,2.757
2020,2,Tierra del Fuego,1.319,4.450
2020,2,Tucumán,1.080,4.360
2020,3,Buenos Aires,1.840,5.556
2020,3,Capital Federal,4.658,11.241
2020,3,Catamarca,808,3.175
2020,3,Chaco,684,2.560
2020,3,Chubut,1.175,3.834
2020,3,Córdoba,1.459,4.764
2020,3,Corrientes,769,2.922
2020,3,Entre Ríos,1.306,4.369
2020,3,Formosa,575,2.260
2020,3,Jujuy,600,2.346
2020,3,La Pampa,1.965,5.965
2020,3,La Rioja,746,2.801
2020,3,Mendoza,985,3.530
2020,3,Misiones,703,2.583
2020,3,Neuquén,1.119,3.760
2020,3,Río Negro,1.138,3.699
2020,3,Salta,723,2.984
2020,3,San Juan,956,3.754
2020,3,San Luis,676,2.362
2020,3,Santa Cruz,743,2.497
2020,3,Santa Fe,1.763,5.608
2020,3,Santiago del Estero,677,2.728
2020,3,Tierra del Fuego,1.239,4.179
2020,3,Tucumán,1.072,4.326
2020,4,Buenos Aires,1.835,5.528
2020,4,Capital Federal,4.628,11.179
2020,4,Catamarca,804,3.161
2020,4,Chaco,671,2.509
2020,4,Chubut,1.172,3.822
2020,4,Córdoba,1.417,4.628
2020,4,Corrientes,759,2.881
2020,4,Entre Ríos,1.287,4.303
2020,4,Formosa,561,2.204
2020,4,Jujuy,590,2.307
2020,4,La Pampa,1.964,5.960
2020,4,La Rioja,741,2.782
2020,4,Mendoza,983,3.521
2020,4,Misiones,677,2.485
2020,4,Neuquén,1.117,3.752
2020,4,Río Negro,1.125,3.656
2020,4,Salta,710,2.930
2020,4,San Juan,954,3.744
2020,4,San Luis,674,2.355
2020,4,Santa Cruz,737,2.478
2020,4,Santa Fe,1.670,5.310
2020,4,Santiago del Estero,675,2.721
2020,4,Tierra del Fuego,1.231,4.153
2020,4,Tucumán,1.065,4.299
2021,1,Buenos Aires,1.832,5.558
2021,1,Capital Federal,4.539,10.928
2021,1,Catamarca,642,2.524
2021,1,Chaco,632,2.363
2021,1,Chubut,1.187,3.872
2021,1,Córdoba,1.398,4.565
2021,1,Corrientes,706,2.679
2021,1,Entre Ríos,1.219,4.077
2021,1,Formosa,518,2.035
2021,1,Jujuy,559,2.187
2021,1,La Pampa,1.991,6.042
2021,1,La Rioja,619,2.325
2021,1,Mendoza,990,3.547
2021,1,Misiones,653,2.398
2021,1,Neuquén,1.125,3.780
2021,1,Río Negro,1.110,3.610
2021,1,Salta,678,2.801
2021,1,San Juan,961,3.774
2021,1,San Luis,680,2.377
2021,1,Santa Cruz,743,2.495
2021,1,Santa Fe,1.616,5.140
2021,1,Santiago del Estero,638,2.569
2021,1,Tierra del Fuego,1.254,4.230
2021,1,Tucumán,967,3.903
2021,2,Buenos Aires,1.365,4.131
2021,2,Capital Federal,2.767,6.668
2021,2,Catamarca,644,2.534
2021,2,Chaco,630,2.356
2021,2,Chubut,1.182,3.857
2021,2,Córdoba,1.331,4.349
2021,2,Corrientes,719,2.730
2021,2,Entre Ríos,1.217,4.070
2021,2,Formosa,531,2.086
2021,2,Jujuy,477,1.867
2021,2,La Pampa,1.991,6.042
2021,2,La Rioja,569,2.137
2021,2,Mendoza,986,3.533
2021,2,Misiones,645,2.367
2021,2,Neuquén,1.120,3.763
2021,2,Río Negro,1.126,3.660
2021,2,Salta,676,2.792
2021,2,San Juan,959,3.764
2021,2,San Luis,678,2.369
2021,2,Santa Cruz,739,2.484
2021,2,Santa Fe,1.571,4.996
2021,2,Santiago del Estero,602,2.426
2021,2,Tierra del Fuego,1.246,4.204
2021,2,Tucumán,827,3.337
2021,3,Buenos Aires,1.801,5.438
2021,3,Capital Federal,4.445,10.727
2021,3,Catamarca,593,2.332
2021,3,Chaco,611,2.288
2021,3,Chubut,1.177,3.841
2021,3,Córdoba,1.285,4.197
2021,3,Corrientes,695,2.641
2021,3,Entre Ríos,1.182,3.952
2021,3,Formosa,503,1.976
2021,3,Jujuy,455,1.780
2021,3,La Pampa,1.998,6.065
2021,3,La Rioja,548,2.059
2021,3,Mendoza,983,3.523
2021,3,Misiones,624,2.292
2021,3,Neuquén,1.115,3.746
2021,3,Río Negro,1.118,3.633
2021,3,Salta,657,2.714
2021,3,San Juan,956,3.754
